package,ondiskversion,source
jquerylib,0.1.4,CRAN (R 4.5.0)
jsonlite,2.0.0,CRAN (R 4.5.0)
juicyjuice,0.1.0,CRAN (R 4.5.0)
kableExtra,1.4.0,CRAN (R 4.5.0)
kernlab,0.9-33,CRAN (R 4.5.0)
KernSmooth,2.23-26,CRAN (R 4.5.1)
keyring,1.4.1,CRAN (R 4.5.0)
KFAS,1.6.0,CRAN (R 4.5.0)
km.ci,0.5-6,CRAN (R 4.5.0)
KMsurv,0.1-6,CRAN (R 4.5.0)
knitr,1.50,CRAN (R 4.5.0)
labeling,0.4.3,CRAN (R 4.5.0)
labelled,2.16.0,CRAN (R 4.5.0)
lambda.r,1.2.4,CRAN (R 4.5.0)
languageserver,0.3.16,CRAN (R 4.5.0)
later,1.4.4,CRAN (R 4.5.0)
latex2exp,0.9.6,CRAN (R 4.5.0)
lattice,0.22-7,CRAN (R 4.5.1)
lava,1.8.1,CRAN (R 4.5.0)
lavaan,0.6-20,CRAN (R 4.5.0)
lazyeval,0.2.2,CRAN (R 4.5.0)
learnr,0.11.6,CRAN (R 4.5.0)
lemon,0.5.2,CRAN (R 4.5.0)
lfda,1.1.3,CRAN (R 4.5.0)
lifecycle,1.0.4,CRAN (R 4.5.0)
lintr,3.2.0.9000,Github (r-lib/lintr@23ebb17f8c95b5ec4f21e0ea86a6190446037558)
listenv,0.10.0,CRAN (R 4.5.0)
litedown,0.8,CRAN (R 4.5.0)
lme4,1.1-37,CRAN (R 4.5.0)
lmom,3.2,CRAN (R 4.5.0)
lmtest,0.9-40,CRAN (R 4.5.0)
lobstr,1.1.2,CRAN (R 4.5.0)
locatexec,0.1.1,CRAN (R 4.5.0)
logger,0.4.1,CRAN (R 4.5.0)
loon,1.4.3,CRAN (R 4.5.0)
lubridate,1.9.4,CRAN (R 4.5.0)
macrtools,0.0.6.2,Github (coatless-mac/macrtools@03526f3250df9bba80f4649d3800d8dbbb48b7b9)
magick,2.9.0,CRAN (R 4.5.0)
magrittr,2.0.4,CRAN (R 4.5.0)
mapdata,2.3.1,CRAN (R 4.5.0)
maps,3.4.3,CRAN (R 4.5.0)
markdown,2.0,CRAN (R 4.5.0)
MASS,7.3-65,CRAN (R 4.5.1)
Matrix,1.7-4,CRAN (R 4.5.0)
MatrixModels,0.5-4,CRAN (R 4.5.0)
maxstat,0.7-26,CRAN (R 4.5.0)
memoise,2.0.1,CRAN (R 4.5.0)
mgcv,1.9-3,CRAN (R 4.5.1)
mice,3.18.0,CRAN (R 4.5.0)
microbenchmark,1.5.0,CRAN (R 4.5.0)
mime,0.13,CRAN (R 4.5.0)
miniUI,0.1.2,CRAN (R 4.5.0)
minqa,1.2.8,CRAN (R 4.5.0)
mitml,0.4-5,CRAN (R 4.5.0)
mitools,2.4,CRAN (R 4.5.0)
mixtools,2.0.0.1,CRAN (R 4.5.0)
mnormt,2.1.1,CRAN (R 4.5.0)
modelbased,0.13.0,CRAN (R 4.5.0)
modelenv,0.2.0,CRAN (R 4.5.0)
ModelMetrics,1.2.2.2,CRAN (R 4.5.0)
modelr,0.1.11,CRAN (R 4.5.0)
modelsummary,2.5.0,CRAN (R 4.5.0)
MSwM,1.5,CRAN (R 4.5.0)
muhaz,1.2.6.4,CRAN (R 4.5.0)
multcomp,1.4-29,CRAN (R 4.5.0)
mvtnorm,1.3-3,CRAN (R 4.5.0)
nlme,3.1-168,CRAN (R 4.5.1)
nloptr,2.2.1,CRAN (R 4.5.0)
nnet,7.3-20,CRAN (R 4.5.1)
nortest,1.0-4,CRAN (R 4.5.0)
numDeriv,2016.8-1.1,CRAN (R 4.5.0)
officer,0.7.0,CRAN (R 4.5.0)
olsrr,0.6.1,CRAN (R 4.5.0)
openssl,2.3.4,CRAN (R 4.5.0)
openxlsx,4.2.8,CRAN (R 4.5.0)
ordinal,2023.12-4.1,CRAN (R 4.5.0)
otel,0.2.0,CRAN (R 4.5.0)
packrat,0.9.3,CRAN (R 4.5.0)
pacman,0.5.1,CRAN (R 4.5.0)
pak,0.9.0,CRAN (R 4.5.0)
palmerpenguins,0.1.1,CRAN (R 4.5.0)
pan,1.9,CRAN (R 4.5.0)
pander,0.6.6,CRAN (R 4.5.0)
parallelly,1.45.1,CRAN (R 4.5.0)
parameters,0.28.2,CRAN (R 4.5.0)
parsedate,1.3.2,CRAN (R 4.5.0)
parsnip,1.3.3,CRAN (R 4.5.0)
patchwork,1.3.2,CRAN (R 4.5.0)
pbapply,1.7-4,CRAN (R 4.5.0)
pbivnorm,0.6.0,CRAN (R 4.5.0)
pbkrtest,0.5.5,CRAN (R 4.5.0)
pdftools,3.6.0,CRAN (R 4.5.0)
performance,0.15.2,CRAN (R 4.5.0)
pillar,1.11.1,CRAN (R 4.5.0)
pkgbuild,1.4.8,CRAN (R 4.5.0)
pkgconfig,2.0.3,CRAN (R 4.5.0)
pkgdown,2.1.3,CRAN (R 4.5.0)
pkgload,1.4.1,CRAN (R 4.5.0)
PKI,0.1-15,CRAN (R 4.5.0)
plotly,4.11.0,CRAN (R 4.5.0)
plyr,1.8.9,CRAN (R 4.5.0)
png,0.1-8,CRAN (R 4.5.0)
polspline,1.1.25,CRAN (R 4.5.0)
polynom,1.4-1,CRAN (R 4.5.0)
praise,1.0.0,CRAN (R 4.5.0)
predtools,0.0.3,CRAN (R 4.5.0)
prettyunits,1.2.0,CRAN (R 4.5.0)
printr,0.3,CRAN (R 4.5.0)
pROC,1.19.0.1,CRAN (R 4.5.0)
processx,3.8.6,CRAN (R 4.5.0)
prodlim,2025.04.28,CRAN (R 4.5.0)
profvis,0.4.0,CRAN (R 4.5.0)
progress,1.2.3,CRAN (R 4.5.0)
progressr,0.16.0,CRAN (R 4.5.0)
promises,1.5.0,CRAN (R 4.5.0)
proxy,0.4-27,CRAN (R 4.5.0)
pryr,0.1.6,CRAN (R 4.5.0)
ps,1.9.1,CRAN (R 4.5.0)
pscl,1.5.9,CRAN (R 4.5.0)
psych,2.5.6,CRAN (R 4.5.0)
purrr,1.2.0,CRAN (R 4.5.0)
qgraph,1.9.8,CRAN (R 4.5.0)
qicharts2,0.8.1,CRAN (R 4.5.0)
qpdf,1.4.1,CRAN (R 4.5.0)
quadprog,1.5-8,CRAN (R 4.5.0)
quantmod,0.4.28,CRAN (R 4.5.0)
quantreg,6.1,CRAN (R 4.5.0)
quarto,1.5.1,CRAN (R 4.5.0)
R.cache,0.17.0,CRAN (R 4.5.0)
R.methodsS3,1.8.2,CRAN (R 4.5.0)
R.oo,1.27.1,CRAN (R 4.5.0)
R.utils,2.13.0,CRAN (R 4.5.0)
R6,2.6.1,CRAN (R 4.5.0)
ragg,1.5.0,CRAN (R 4.5.0)
rappdirs,0.3.3,CRAN (R 4.5.0)
rARPACK,0.11-0,CRAN (R 4.5.0)
raster,3.6-32,CRAN (R 4.5.0)
rbibutils,2.4,CRAN (R 4.5.0)
rcartocolor,2.1.2,CRAN (R 4.5.0)
rcmdcheck,1.4.0,CRAN (R 4.5.0)
RColorBrewer,1.1-3,CRAN (R 4.5.0)
RConics,1.1.2,CRAN (R 4.5.0)
Rcpp,1.1.0,CRAN (R 4.5.0)
RcppArmadillo,15.0.2-2,CRAN (R 4.5.0)
RcppEigen,0.3.4.0.2,CRAN (R 4.5.0)
RcppTOML,0.2.3,CRAN (R 4.5.0)
rcrossref,1.2.1,CRAN (R 4.5.0)
Rdpack,2.6.4,CRAN (R 4.5.0)
reactable,0.4.5,CRAN (R 4.5.2)
reactR,0.6.1,CRAN (R 4.5.0)
readr,2.1.5,CRAN (R 4.5.0)
readxl,1.4.5,CRAN (R 4.5.0)
recipes,1.3.1,CRAN (R 4.5.0)
REDCapR,1.6.0,CRAN (R 4.5.0)
REDCapTidieR,1.2.4.9001,Github (CHOP-CGTInformatics/REDCapTidieR@540191264024f02592d5c5cca9aabfe633a13c44)
reformulas,0.4.2,CRAN (R 4.5.0)
regress3d,1.0.0.9000,Github (d-morrison/regress3d@158d63cee6d823eccb5b0fc45e11f013ea0097d7)
rematch,2.0.0,CRAN (R 4.5.0)
rematch2,2.1.2,CRAN (R 4.5.0)
remotes,2.5.0,CRAN (R 4.5.0)
rentrez,1.2.4,CRAN (R 4.5.0)
renv,1.1.5,CRAN (R 4.5.0)
reprex,2.1.1,CRAN (R 4.5.0)
reshape2,1.4.4,CRAN (R 4.5.0)
reticulate,1.43.0,CRAN (R 4.5.0)
rex,1.2.1,CRAN (R 4.5.0)
rjags,4-17,CRAN (R 4.5.0)
rlang,1.1.6,CRAN (R 4.5.0)
rlist,0.4.6.2,CRAN (R 4.5.0)
rmarkdown,2.30,CRAN (R 4.5.0)
