package,ondiskversion,source
quadprog,1.5-8,CRAN (R 4.5.0)
quantreg,6.1,CRAN (R 4.5.0)
quarto,1.5.0,CRAN (R 4.5.1)
R.cache,0.17.0,CRAN (R 4.5.1)
R.methodsS3,1.8.2,CRAN (R 4.5.0)
R.oo,1.27.1,CRAN (R 4.5.0)
R.utils,2.13.0,CRAN (R 4.5.1)
R6,2.6.1,CRAN (R 4.5.0)
ragg,1.4.0,CRAN (R 4.5.0)
rampp,0.0.0.9016,local
rappdirs,0.3.3,CRAN (R 4.5.0)
rbibutils,2.3,CRAN (R 4.5.0)
rcartocolor,2.1.2,CRAN (R 4.5.1)
rcmdcheck,1.4.0,CRAN (R 4.5.0)
RColorBrewer,1.1-3,CRAN (R 4.5.0)
Rcpp,1.1.0,CRAN (R 4.5.1)
RcppArmadillo,14.6.0-1,CRAN (R 4.5.1)
RcppEigen,0.3.4.0.2,CRAN (R 4.5.0)
RcppTOML,0.2.3,CRAN (R 4.5.0)
rcrossref,1.2.0,CRAN (R 4.5.0)
Rdpack,2.6.4,CRAN (R 4.5.0)
reactable,0.4.4,CRAN (R 4.5.0)
reactR,0.6.1,CRAN (R 4.5.0)
readr,2.1.5,CRAN (R 4.5.0)
readxl,1.4.5,CRAN (R 4.5.0)
recipes,1.3.1,CRAN (R 4.5.1)
REDCapR,1.5.0,CRAN (R 4.5.1)
REDCapTidieR,1.2.4,CRAN (R 4.5.1)
reformulas,0.4.1,CRAN (R 4.5.0)
rematch,2.0.0,CRAN (R 4.5.0)
rematch2,2.1.2,CRAN (R 4.5.0)
remotes,2.5.0,CRAN (R 4.5.0)
rentrez,1.2.4,CRAN (R 4.5.1)
renv,1.1.5,CRAN (R 4.5.1)
repr,1.1.7,CRAN (R 4.5.0)
reprex,2.1.1,CRAN (R 4.5.0)
reshape2,1.4.4,CRAN (R 4.5.1)
reticulate,1.43.0,CRAN (R 4.5.1)
rex,1.2.1,CRAN (R 4.5.0)
rio,1.2.3,CRAN (R 4.5.1)
rjags,4-17,CRAN (R 4.5.1)
rlang,1.1.6,CRAN (R 4.5.0)
rlist,0.4.6.2,CRAN (R 4.5.1)
rmarkdown,2.29,CRAN (R 4.5.0)
